GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tilting-Tiles,shapes,Circle,68,104,10,2,24,37,12,9,6,9
Tilting-Tiles,shapes,Rectangle,68,109,8,4,24,40,10,12,6,10
Tilting-Tiles,shapes,Canvas,1,270,0,20,1,63,0,19,0,9
Tilting-Tiles,shapes,Canvas.CanvasPane,0,16,0,0,0,3,0,2,0,2
Tilting-Tiles,shapes,Triangle,74,150,10,2,27,39,13,9,7,9
Tilting-Tiles,shapes,Canvas.ShapeDescription,0,26,0,0,0,8,0,2,0,2
Tilting-Tiles,puzzle,Tiles,377,359,67,31,93,90,50,23,7,17
Tilting-Tiles,puzzle,Super,3,0,0,0,1,0,1,0,1,0
Tilting-Tiles,puzzle,Temporal,239,92,22,2,48,25,16,5,4,5
Tilting-Tiles,puzzle,Fragil,3,0,0,0,1,0,1,0,1,0
Tilting-Tiles,puzzle,Puzzle,218,1160,71,131,56,204,70,75,9,32
Tilting-Tiles,puzzle,puzzleExceptions,0,4,0,0,0,2,0,1,0,1
Tilting-Tiles,puzzle,Fixed,202,177,23,11,42,39,22,5,5,5
Tilting-Tiles,puzzle,Holes,8,48,0,0,4,14,2,3,2,3
Tilting-Tiles,puzzle,Freelance,8,41,0,0,4,10,2,2,2,2
Tilting-Tiles,puzzle,Rough,24,51,0,0,6,14,5,3,5,3
Tilting-Tiles,puzzle,Glues,289,221,44,25,36,43,31,20,4,11
Tilting-Tiles,puzzle,Flying,215,118,20,4,50,28,18,6,7,5
Tilting-Tiles,puzzle,PuzzleContest,235,0,20,0,41,0,16,0,6,0
